IdResultado,Numero,FaixaEtaria,Equipe,TempoLiq,TempoOfic,ClassGeral,ClassSexo,ClassFaixa,TotalClassGeral,TotalClassSexo,TotalClassFaixa,Ritmo,Distancia,NoLugarDe,FezInscricao,IdAtleta,IdProva,TempoEquipe
71,207-4,null, LocaMotiva,2008-11-17 00:31:37,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,20,5,null
72,207-5,null, LocaMotiva,2008-11-17 00:27:08,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,21,5,null
73,207-6,null, LocaMotiva,2008-11-17 00:32:41,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,22,5,null
74,207-7,null, LocaMotiva,2008-11-17 00:38:27,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,24,5,null
75,207-8,null, LocaMotiva,2008-11-17 00:41:34,2008-11-17 04:52:33,635,null,376,null,null,null,null,5.275KM,null,true,12,5,null
86,4793,M3034 , LocaMotiva ,2008-11-24 00:50:04,2008-11-24 00:53:14,2064,1944,338,null,null,null,null,10Km,,true,3,6,null
87,4788,M3034 , LocaMotiva ,2008-11-24 00:50:19,2008-11-24 00:54:12,2108,1984,345,null,null,null,null,10Km,,true,4,6,null
88,4790,M2529 , LocaMotiva ,2008-11-24 00:53:09,2008-11-24 00:58:40,2902,2673,344,null,null,null,null,10Km,,true,13,6,null
89,4791,M3034 , LocaMotiva ,2008-11-24 00:54:12,2008-11-24 00:58:01,3235,2954,496,null,null,null,null,10Km,,true,21,6,null
90,4789,M3539 , LocaMotiva ,2008-11-24 00:57:49,2008-11-24 01:03:19,4287,3821,650,null,null,null,null,10Km,Mauricio de Amorim,true,5,6,null
91,4792,M2024 , LocaMotiva ,2008-11-24 01:03:49,2008-11-24 01:06:59,6009,5038,269,null,null,null,null,10Km,,true,6,6,null
92,4785,F3034 , LocaMotiva ,2008-11-24 01:10:55,2008-11-24 01:15:48,7198,1460,289,null,null,null,null,10Km,,true,8,6,null
93,4784,M2529 , LocaMotiva ,2008-11-24 01:17:24,2008-11-24 01:22:55,7737,6006,772,null,null,null,null,10Km,,true,12,6,null
94,4786,M2529 , LocaMotiva ,2008-11-24 01:19:28,2008-11-24 01:25:02,7849,6055,778,null,null,null,null,10Km,,true,11,6,null
95,4783,F2024 , LocaMotiva ,2008-11-24 01:32:12,2008-11-24 01:37:04,8124,1952,106,null,null,null,null,10Km, Angélica França ,true,23,6,null
96,3889,M3034  , LocaMotiva  ,2009-01-19 00:32:09,2009-01-19 00:32:32,571,539,110,null,null,null,2009-01-19 04:35:00,7Km,null,true,4,9,null
97,3885,M3034 , LocaMotiva ,2009-01-19 00:32:29,2009-01-19 00:33:44,621,587,122,null,null,null,2009-01-19 04:38:00,7Km,null,true,2,9,null
98,3892,M3034 , LocaMotiva ,2009-01-19 00:34:43,2009-01-19 00:35:07,964,897,191,null,null,null,2009-01-19 04:57:00,7Km,null,true,13,9,null
99,3884,M3034 , LocaMotiva ,2009-01-19 00:40:37,2009-01-19 00:45:14,2221,1971,405,null,null,null,2009-01-19 05:48:00,7Km,null,true,21,9,null
100,3890,M2024 , LocaMotiva ,2009-01-19 00:41:02,2009-01-19 00:43:39,2296,2028,132,null,null,null,2009-01-19 05:51:00,7Km,null,true,6,9,null
101,3891,M2529 , LocaMotiva ,2009-01-19 00:46:11,2009-01-19 00:48:30,3217,2667,396,null,null,null,2009-01-19 06:35:00,7Km,null,true,7,9,null
102,3886,F3034 , LocaMotiva ,2009-01-19 00:52:58,2009-01-19 00:55:31,3927,891,204,null,null,null,2009-01-19 07:34:00,7Km,null,true,8,9,null
103,3887,M2529 , LocaMotiva ,2009-01-19 00:56:19,2009-01-19 00:58:39,4110,3112,470,null,null,null,2009-01-19 08:02:00,7Km,null,true,11,9,null
104,3888,F2529 , LocaMotiva ,2009-01-19 00:59:19,2009-01-19 01:04:03,4226,1072,161,null,null,null,2009-01-19 08:28:00,7Km,null,true,23,9,null
105,5201,F3034  , LocaMotiva ,2009-01-19 00:41:17,2009-01-19 00:42:31,2347,282,67,null,null,null,2009-01-19 05:53:00,7Km,null,true,14,9,null
106,18431,M3034  , LocaMotiva  ,2009-01-19 01:19:58,2009-01-19 01:22:29,4226,null,688,null,null,null,null,15Km,null,true,4,8,null
107,18429,M3034 , LocaMotiva  ,2009-01-19 01:30:29,2009-01-19 01:34:22,7399,null,1136,null,null,null,null,15Km,null,true,21,8,null
108,18428,M2529 , LocaMotiva  ,2009-01-19 01:51:32,2009-01-19 02:07:45,12519,null,1317,null,null,null,null,15Km,null,true,5,8,null
