"id","start_number"," category"," team"," liquid_time"," official_time"," class_general"," class_sex"," class_category"," pace"," distance"," substitute"," notes"," athlete_id"," race_id"
436,"13821","M3539 ","Locamotiva","20100321003803","20100321004804","1587 ","913 ","165 ","201003210736","5Km",,,1,42
437,"13809","M3539 ","Locamotiva","20100321004100","20100321004100","00","0","0","201003210000","5Km",,,11,42
438,12793,"M3034","Locamotiva","20100411002210","20100411002231",192,173,42,"201004110426","5Km",,,4,43
439,12848,"M3539","Locamotiva",20100411002252,20100411002315,226,201,26,201004110434,"5Km",,,1,43
440,12562,"M3539","Locamotiva",20100411002445,20100411002506,369,328,51,201004110457,"5Km",,,2,43
441,12844,"M2529","Locamotiva",20100411002521,20100411002544,425,375,53,201004110504,"5Km",,,46,43
442,12890,"M3034","Locamotiva",20100411002549,20100411002632,479,417,90,201004110509,"5Km",,,13,43
443,12556,"M3034","Locamotiva",20100411002607,20100411002631,516,447,100,201004110513,"5Km",,,21,43
444,12568,"M2529","Locamotiva",20100411002751,20100411002838,722,607,85,201004110534,"5Km","Luiz Osaki",,6,43
445,12891,"M3034","Locamotiva",20100411002846,20100411002920,830,683,135,201004110545,"5Km",,,22,43
446,12893,"M3539","Locamotiva",20100411003019,20100411005520,1058,835,129,201004110603,"5Km",,,47,43
447,12557,"F3034","Locamotiva",20100411003308,20100411003452,1458,410,92,201004110637,"5Km","Eduardo Martinez",,53,43
448,12829,"M3034","Locamotiva",20100411003553,20100411003626,1736,1151,203,201004110710,"5Km",,,55,43
449,12559,"M3034","Locamotiva",20100411003742,20100411004636,1870,1204,209,201004110732,"5Km",,,12,43
450,12889,"F2529","Locamotiva",20100411003807,20100411010148,1917,697,114,201004110737,"5Km",,,49,43
451,12892,"F2529","Locamotiva",20100411004148,20100411004314,2088,813,128,201004110821,"5Km",,,63,43
452,13505,"F3034","Locamotiva",20100411004828,20100411005031,2229,921,166,201004110941,"5Km",,,14,43
